Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,086338,2016,10,05,8.0,1,Y
IDCJAC0011,086338,2016,10,06,9.7,1,Y
IDCJAC0011,086338,2016,10,07,14.1,1,Y
IDCJAC0011,086338,2016,10,08,9.7,1,Y
IDCJAC0011,086338,2016,10,09,9.5,1,Y
IDCJAC0011,086338,2016,10,10,13.0,1,Y
IDCJAC0011,086338,2016,10,11,7.5,1,Y
IDCJAC0011,086338,2016,10,12,10.2,1,Y
IDCJAC0011,086338,2016,10,13,6.8,1,Y
IDCJAC0011,086338,2016,10,14,5.2,1,Y
IDCJAC0011,086338,2016,10,15,9.4,1,Y
IDCJAC0011,086338,2016,10,16,17.4,1,Y
IDCJAC0011,086338,2016,10,17,9.8,1,Y
IDCJAC0011,086338,2016,10,18,9.6,1,Y
IDCJAC0011,086338,2016,10,19,7.5,1,Y
IDCJAC0011,086338,2016,10,20,6.8,1,Y
IDCJAC0011,086338,2016,10,21,14.8,1,Y
IDCJAC0011,086338,2016,10,22,6.9,1,Y
IDCJAC0011,086338,2016,10,23,7.9,1,Y
IDCJAC0011,086338,2016,10,24,9.4,1,Y
IDCJAC0011,086338,2016,10,25,9.6,1,Y
IDCJAC0011,086338,2016,10,26,16.5,1,Y
IDCJAC0011,086338,2016,10,27,10.1,1,Y
IDCJAC0011,086338,2016,10,28,6.3,1,Y
IDCJAC0011,086338,2016,10,29,9.3,1,Y
IDCJAC0011,086338,2016,10,30,12.7,1,Y
IDCJAC0011,086338,2016,10,31,7.9,1,Y
IDCJAC0011,086338,2016,11,01,9.4,1,Y
IDCJAC0011,086338,2016,11,02,9.7,1,Y
IDCJAC0011,086338,2016,11,03,10.0,1,Y
IDCJAC0011,086338,2016,11,04,10.2,1,Y
IDCJAC0011,086338,2016,11,05,10.0,1,Y
IDCJAC0011,086338,2016,11,06,11.5,1,Y
IDCJAC0011,086338,2016,11,07,14.6,1,Y
IDCJAC0011,086338,2016,11,08,11.0,1,Y
IDCJAC0011,086338,2016,11,09,9.2,1,Y
IDCJAC0011,086338,2016,11,10,11.9,1,Y
IDCJAC0011,086338,2016,11,11,8.4,1,Y
IDCJAC0011,086338,2016,11,12,13.2,1,Y
IDCJAC0011,086338,2016,11,13,11.7,1,Y
IDCJAC0011,086338,2016,11,14,11.5,1,Y
IDCJAC0011,086338,2016,11,15,11.0,1,Y
IDCJAC0011,086338,2016,11,16,11.9,1,Y
IDCJAC0011,086338,2016,11,17,12.0,1,Y
IDCJAC0011,086338,2016,11,18,15.3,1,Y
IDCJAC0011,086338,2016,11,19,11.7,1,Y
IDCJAC0011,086338,2016,11,20,11.9,1,Y
IDCJAC0011,086338,2016,11,21,17.9,1,Y
IDCJAC0011,086338,2016,11,22,14.5,1,Y
IDCJAC0011,086338,2016,11,23,11.0,1,Y
IDCJAC0011,086338,2016,11,24,10.3,1,Y
IDCJAC0011,086338,2016,11,25,10.9,1,Y
IDCJAC0011,086338,2016,11,26,12.2,1,Y
IDCJAC0011,086338,2016,11,27,11.6,1,Y
